parameter_id,frequency_band,variable,TO,FROM,NET,average_TCI
P1_H10_S3,long_term,r_gold,18.90789068249398,22.92559716334417,-4.017706480850188,24.163763169939855
P1_H10_S3,long_term,r_wti,19.63243422892474,27.516947608977564,-7.88451338005282,24.163763169939855
P1_H10_S3,medium_term,r_ai,34.66658964629325,28.64762742875475,6.018962217538497,24.376984556409568
P1_H10_S3,medium_term,r_coal,35.93050923369931,25.069904765901185,10.860604467798128,24.376984556409568
P1_H10_S3,medium_term,r_electricity,26.45489566394705,27.112400710620676,-0.6575050466736265,24.376984556409568
P1_H10_S3,medium_term,r_gas,10.039439760823033,15.064774243766873,-5.025334482943839,24.376984556409568
P1_H10_S3,medium_term,r_gold,18.990858164403836,23.05006232216355,-4.0592041577597175,24.376984556409568
P1_H10_S3,medium_term,r_wti,20.179614869290933,27.317137867250374,-7.137522997959441,24.376984556409568
P1_H10_S3,short_term,r_ai,35.207897241196854,30.84225482855299,4.365642412643862,24.10694433488888
P1_H10_S3,short_term,r_coal,30.07949352205756,31.173123396162488,-1.0936298741049288,24.10694433488888
P1_H10_S3,short_term,r_electricity,28.438495988993424,26.12285161109491,2.3156443778985145,24.10694433488888
P1_H10_S3,short_term,r_gas,9.30960884524416,12.897956241339191,-3.5883473960950303,24.10694433488888
P1_H10_S3,short_term,r_gold,19.583478477409944,22.724017865036235,-3.140539387626293,24.10694433488888
P1_H10_S3,short_term,r_wti,22.022691934431343,20.881462067147467,1.1412298672838745,24.10694433488888
P1_H20_S1,long_term,r_ai,34.04000457528347,28.209881949001062,5.830122626282409,24.166347466034132
P1_H20_S1,long_term,r_coal,36.359605160558885,24.03387205959457,12.325733100964309,24.166347466034132
P1_H20_S1,long_term,r_electricity,25.98628778884155,26.97571111147943,-0.9894233226378788,24.166347466034132
P1_H20_S1,long_term,r_gas,10.065723893863542,15.334567617006824,-5.2688437231432825,24.166347466034132
P1_H20_S1,long_term,r_gold,18.907272152179655,22.9269170973251,-4.019644945145447,24.166347466034132
P1_H20_S1,long_term,r_wti,19.639191225477692,27.517134961797804,-7.87794373632011,24.166347466034132
P1_H20_S1,medium_term,r_ai,34.941093711699914,28.89437539969939,6.046718312000524,24.468807596698348
P1_H20_S1,medium_term,r_coal,35.63576294951241,25.653919042100544,9.981843907411868,24.468807596698348
P1_H20_S1,medium_term,r_electricity,26.708196184108488,27.167017691752182,-0.4588215076436968,24.468807596698348
P1_H20_S1,medium_term,r_gas,10.012539543852856,14.915737949496757,-4.903198405643901,24.468807596698348
P1_H20_S1,medium_term,r_gold,19.08814779569175,23.10387102633613,-4.01572323064438,24.468807596698348
P1_H20_S1,medium_term,r_wti,20.427105395324652,27.077924470805065,-6.650819075480414,24.468807596698348
P1_H20_S1,short_term,r_ai,35.00548044886594,31.0370098605382,3.9684705883277407,23.923216144188416
P1_H20_S1,short_term,r_coal,29.08112594242982,31.78311897056091,-2.7019930281310884,23.923216144188416
P1_H20_S1,short_term,r_electricity,28.523845249471844,25.878327544159973,2.6455177053118697,23.923216144188416
P1_H20_S1,short_term,r_gas,9.194515951115074,12.52669305600659,-3.3321771048915148,23.923216144188416
P1_H20_S1,short_term,r_gold,19.58804546741467,22.581788416351916,-2.9937429489372454,23.923216144188416
P1_H20_S1,short_term,r_wti,22.146283805833157,19.73235901751292,2.4139247883202373,23.923216144188416
P1_H20_S2,long_term,r_ai,33.98268272173399,28.183457249437435,5.799225472296548,24.150513419568373
P1_H20_S2,long_term,r_coal,36.38163271480668,23.967325282936137,12.414307431870538,24.150513419568373
P1_H20_S2,long_term,r_electricity,25.951604978206394,26.967015881761107,-1.0154109035547134,24.150513419568373
P1_H20_S2,long_term,r_gas,10.07777314807744,15.351400191808219,-5.273627043730778,24.150513419568373
