+date,total_tci,short_term_TCI,medium_term_TCI,long_term_TCI
+2022-06-06,27.82601595207967,25.68148517590107,30.16413296266934,30.153212777902755
+2022-06-07,28.22140477721533,25.804538921942576,30.8251390404414,30.94732766096944
+2022-06-08,28.25290646483089,25.972279355806045,30.72017454234838,30.741471840642603
+2022-06-09,30.41118551410599,27.61205146086283,33.38469985919056,33.587031319352164
+2022-06-10,29.160446873982853,26.734607508877836,31.85247243962757,32.027233652314976
+2022-06-13,34.21431247812264,30.280163508677397,38.322567487539246,39.307321529160895
+2022-06-14,33.55160020357329,29.62066538508416,37.78000667876297,38.79642345610083
+2022-06-15,33.77122154443828,29.925423764009924,37.92085048501054,38.65326279334304
+2022-06-16,34.563456238174375,30.989064345901586,38.50386878776656,39.063843827733976
+2022-06-17,35.27474868612855,32.402535614260024,38.747946755474366,38.988880021393406
+2022-06-22,34.39117898787129,31.30910422194843,37.85500157839692,38.20685559420423
+2022-06-23,32.422173717152866,29.52167608217352,35.69322396122074,35.981219969012606
+2022-06-24,32.04144525983472,29.178838754925312,35.19225881929018,35.51425797893188
+2022-06-27,31.325771923371825,28.29183431056455,34.66092756322315,35.089933517801015
+2022-06-28,31.6154469507017,28.73891901952646,34.75650503467856,35.0025117106116
+2022-06-29,31.43502609414674,28.455857818948854,34.6744691276601,34.94318936271696
+2022-06-30,31.08227686494653,28.0437161256016,34.30745518696921,34.54695819089245
+2022-07-01,29.665959984104965,26.72631633751166,32.82732002361823,33.00745705357938
+2022-07-06,29.083883618978827,26.41454152628522,32.01756990457513,32.01208527385256
+2022-07-07,29.43452557833827,26.594354866086974,32.49490417543354,32.47023220943214
+2022-07-08,29.472991173013508,26.713909430303023,32.45139042117195,32.34560434561121
+2022-07-11,29.1227471008973,26.427690422723472,32.01289712685521,31.83756688296339
+2022-07-12,28.35275298070776,25.7559281512258,31.138434277461457,30.91500172064136
+2022-07-13,27.869778366418803,25.4504521988866,30.48482207879708,30.11104956251321
+2022-07-14,28.00480755795402,25.698571894309943,30.499629141490114,30.118934929687097
+2022-07-15,27.999948824888023,25.805609589230443,30.364227858171866,29.921639057704656
+2022-07-18,28.074900577771466,26.102762614240365,30.292481256446383,29.70628313396733
+2022-07-19,29.26839145303403,27.232260425875648,31.396585163285213,30.986453912064345
+2022-07-20,27.693371223238056,26.036080099131517,29.554586423381284,29.11442955565107
+2022-07-21,24.963585631094425,23.34631279804297,26.753237538877944,26.28160202889512
+2022-07-22,24.109483362431945,22.594607617608347,25.707894680464964,25.25102695126507
+2022-07-25,23.850242081881408,22.256651527725804,25.55379073260432,25.19013829183588
+2022-07-26,23.976423781795024,22.55721334720653,25.45895204390141,24.91963072530387
+2022-07-27,25.48295635635424,24.27660339719929,26.447465493039285,25.69820419715533
+2022-07-28,24.091930315717804,22.816729387738224,25.061576377507397,24.501845539280108
+2022-07-29,24.13783509523549,22.85234470550837,25.11087768066968,24.617645624834488
+2022-08-01,23.871998394972454,22.597485040775886,24.907345073280617,24.48175938238368
+2022-08-02,23.550625377806924,22.204730692100064,24.707579977435003,24.34580872008498
+2022-08-03,23.57550426504367,22.22754387504908,24.8030546209802,24.515476403350743
+2022-08-04,22.79355111512821,21.574217692404428,23.78188367515187,23.41725668257033
+2022-08-05,22.382479135328083,21.15422523044862,23.460539006375047,23.188730055424145
+2022-08-08,22.222752938234,21.073355746717606,23.154224386660477,22.84497864466701
+2022-08-09,21.39239326645446,20.318229427625127,22.237072992729622,21.91508563195057
+2022-08-10,22.239026949908368,21.084630572348885,23.137212857588395,22.81763364130136
+2022-08-11,22.23609819124353,20.969044018237597,23.35207545896612,23.145312326946268
+2022-08-12,22.731436675403334,21.37279315448895,24.034952947510945,24.009225832311685
+2022-08-15,22.01281681596773,21.00156562713697,23.068611134380145,22.94298767392649
+2022-08-16,22.219939486483668,21.23772439660735,23.05800542835899,22.850733073415388
+2022-08-17,22.483721371569956,21.376004435977567,23.45222557270265,23.30693949499736
+2022-08-18,22.794656151680723,21.75543384465953,23.63073472208823,23.47980051466737
+2022-08-19,22.37143665243505,21.396636226648344,23.19222203468527,22.971367678918742
